Row	Question	ISO	answer	value	rank	item
113	Question4	MEX	Crime or violence	62.3	1	item7
114	Question4	MEX	Struggling to meet all expenses (working, but income too low)	56	2	item4
115	Question4	MEX	Becoming ill or disabled	41.3	3	item1
116	Question4	MEX	Losing a job or self-employment income	39.4	4	item2
117	Question4	MEX	Securing / maintaining adequate housing	30.7	5	item3
118	Question4	MEX	Difficulty ensuring long-term care of elderly or disabled family members	18.8	6	item6
119	Question4	MEX	Difficulty accessing good quality child care or education for my children	13.4	7	item5
120	Question4	MEX	None of these risks	2.4	8	item8
121	Question4	NLD	Becoming ill or disabled	51.3	1	item1
122	Question4	NLD	Struggling to meet all expenses (working, but income too low)	32.8	2	item4
123	Question4	NLD	Crime or violence	31.7	3	item7
124	Question4	NLD	Difficulty ensuring long-term care of elderly or disabled family members	27.9	4	item6
125	Question4	NLD	Losing a job or self-employment income	22.4	5	item2
126	Question4	NLD	Securing / maintaining adequate housing	22.2	6	item3
127	Question4	NLD	None of these risks	20.7	7	item8
128	Question4	NLD	Difficulty accessing good quality child care or education for my children	10.4	8	item5
129	Question4	NOR	Becoming ill or disabled	54.6	1	item1
130	Question4	NOR	Struggling to meet all expenses (working, but income too low)	38.9	2	item4
131	Question4	NOR	Securing / maintaining adequate housing	32.6	3	item3
132	Question4	NOR	Crime or violence	26.1	4	item7
133	Question4	NOR	Losing a job or self-employment income	24	5	item2
134	Question4	NOR	Difficulty ensuring long-term care of elderly or disabled family members	20.2	6	item6
135	Question4	NOR	None of these risks	14.8	7	item8
136	Question4	NOR	Difficulty accessing good quality child care or education for my children	14.2	8	item5
137	Question4	PRT	Becoming ill or disabled	63.4	1	item1
138	Question4	PRT	Struggling to meet all expenses (working, but income too low)	44.5	2	item4
139	Question4	PRT	Losing a job or self-employment income	39.3	3	item2
140	Question4	PRT	Crime or violence	30.3	4	item7
141	Question4	PRT	Difficulty ensuring long-term care of elderly or disabled family members	30.1	5	item6
142	Question4	PRT	Securing / maintaining adequate housing	25.3	6	item3
143	Question4	PRT	Difficulty accessing good quality child care or education for my children	18.7	7	item5
144	Question4	PRT	None of these risks	4.9	8	item8
145	Question4	SVN	Becoming ill or disabled	62	1	item1
146	Question4	SVN	Struggling to meet all expenses (working, but income too low)	46.6	2	item4
147	Question4	SVN	Losing a job or self-employment income	46.5	3	item2
148	Question4	SVN	Difficulty ensuring long-term care of elderly or disabled family members	28.2	4	item6
149	Question4	SVN	Crime or violence	23.5	5	item7
150	Question4	SVN	Securing / maintaining adequate housing	20.1	6	item3
151	Question4	SVN	Difficulty accessing good quality child care or education for my children	16	7	item5
152	Question4	SVN	None of these risks	8.4	8	item8
153	Question4	USA	Struggling to meet all expenses (working, but income too low)	48.1	1	item4
154	Question4	USA	Becoming ill or disabled	43.5	2	item1
155	Question4	USA	Losing a job or self-employment income	33.6	3	item2
156	Question4	USA	Crime or violence	33.5	4	item7
157	Question4	USA	Securing / maintaining adequate housing	25.4	5	item3
158	Question4	USA	Difficulty ensuring long-term care of elderly or disabled family members	22.2	6	item6
159	Question4	USA	Difficulty accessing good quality child care or education for my children	14.6	7	item5
160	Question4	USA	None of these risks	13.3	8	item8
161	Question5	AUT	Being financially secure in old-age	79.1	9	item3
162	Question5	AUT	That my children will not achieve the level of status and comfort Ð job-security, income, home-ownership Ð that I have.	47.8	10	item2
163	Question5	AUT	Ensuring long-term care of elderly or disabled family members	42.1	11	item5
164	Question5	AUT	That I will not attain the level of status and comfort Ð job-security, income, home-ownership Ð that my parents had / that I envision for myself.	41.7	12	item1
165	Question5	AUT	Securing / maintaining adequate housing	37.4	13	item4
166	Question5	AUT	None of these risks	5	14	item8
167	Question5	AVG	Being financially secure in old-age	72	9	item3
168	Question5	AVG	That my children will not achieve the level of status and comfort Ð job-security, income, home-ownership Ð that I have.	42.6	10	item2
169	Question5	AVG	That I will not attain the level of status and comfort Ð job-security, income, home-ownership Ð that my parents had / that I envision for myself.	41.6	11	item1
170	Question5	AVG	Securing / maintaining adequate housing	39.8	12	item4
171	Question5	AVG	Ensuring long-term care of elderly or disabled family members	38.6	13	item5
172	Question5	AVG	None of these risks	6.6	14	item8
173	Question5	BEL	Being financially secure in old-age	63.9	9	item3
174	Question5	BEL	That my children will not achieve the level of status and comfort Ð job-security, income, home-ownership Ð that I have.	43.9	10	item2
175	Question5	BEL	Ensuring long-term care of elderly or disabled family members	43.7	11	item5
176	Question5	BEL	That I will not attain the level of status and comfort Ð job-security, income, home-ownership Ð that my parents had / that I envision for myself.	39.5	12	item1
177	Question5	BEL	Securing / maintaining adequate housing	33.8	13	item4
178	Question5	BEL	None of these risks	10.4	14	item8
179	Question5	CAN	Being financially secure in old-age	67.4	9	item3
180	Question5	CAN	That I will not attain the level of status and comfort Ð job-security, income, home-ownership Ð that my parents had / that I envision for myself.	45.8	10	item1
181	Question5	CAN	Ensuring long-term care of elderly or disabled family members	36.7	11	item5
182	Question5	CAN	Securing / maintaining adequate housing	33.8	12	item4
183	Question5	CAN	That my children will not achieve the level of status and comfort Ð job-security, income, home-ownership Ð that I have.	30.6	13	item2
184	Question5	CAN	None of these risks	10.6	14	item8
185	Question5	CHL	Being financially secure in old-age	75.4	9	item3
186	Question5	CHL	Securing / maintaining adequate housing	53	10	item4
187	Question5	CHL	That my children will not achieve the level of status and comfort Ð job-security, income, home-ownership Ð that I have.	52.2	11	item2
188	Question5	CHL	Ensuring long-term care of elderly or disabled family members	39.2	12	item5
189	Question5	CHL	That I will not attain the level of status and comfort Ð job-security, income, home-ownership Ð that my parents had / that I envision for myself.	34.4	13	item1
190	Question5	CHL	None of these risks	2.4	14	item8
191	Question5	DEU	Being financially secure in old-age	76.4	9	item3
192	Question5	DEU	That I will not attain the level of status and comfort Ð job-security, income, home-ownership Ð that my parents had / that I envision for myself.	41.9	10	item1
193	Question5	DEU	Securing / maintaining adequate housing	41.3	11	item4
194	Question5	DEU	Ensuring long-term care of elderly or disabled family members	39.8	12	item5
195	Question5	DEU	That my children will not achieve the level of status and comfort Ð job-security, income, home-ownership Ð that I have.	38.9	13	item2
196	Question5	DEU	None of these risks	6.9	14	item8
197	Question5	DNK	Being financially secure in old-age	68.3	9	item3
198	Question5	DNK	Securing / maintaining adequate housing	42.7	10	item4
199	Question5	DNK	That my children will not achieve the level of status and comfort Ð job-security, income, home-ownership Ð that I have.	35.4	11	item2
200	Question5	DNK	That I will not attain the level of status and comfort Ð job-security, income, home-ownership Ð that my parents had / that I envision for myself.	31	12	item1
201	Question5	DNK	Ensuring long-term care of elderly or disabled family members	29.3	13	item5
202	Question5	DNK	None of these risks	11.5	14	item8
203	Question5	EST	Being financially secure in old-age	82.3	9	item3
204	Question5	EST	Ensuring long-term care of elderly or disabled family members	48.2	10	item5
205	Question5	EST	Securing / maintaining adequate housing	45.9	11	item4
206	Question5	EST	That I will not attain the level of status and comfort Ð job-security, income, home-ownership Ð that my parents had / that I envision for myself.	41	12	item1
207	Question5	EST	That my children will not achieve the level of status and comfort Ð job-security, income, home-ownership Ð that I have.	37.5	13	item2
208	Question5	EST	None of these risks	3.7	14	item8
209	Question5	FIN	Being financially secure in old-age	66.7	9	item3
210	Question5	FIN	Securing / maintaining adequate housing	54.4	10	item4
211	Question5	FIN	That I will not attain the level of status and comfort Ð job-security, income, home-ownership Ð that my parents had / that I envision for myself.	40.5	11	item1
212	Question5	FIN	That my children will not achieve the level of status and comfort Ð job-security, income, home-ownership Ð that I have.	34.3	12	item2
213	Question5	FIN	Ensuring long-term care of elderly or disabled family members	34.3	13	item5
214	Question5	FIN	None of these risks	5.2	14	item8
215	Question5	FRA	Being financially secure in old-age	67.3	9	item3
216	Question5	FRA	That my children will not achieve the level of status and comfort Ð job-security, income, home-ownership Ð that I have.	53	10	item2
217	Question5	FRA	Ensuring long-term care of elderly or disabled family members	44.6	11	item5
218	Question5	FRA	That I will not attain the level of status and comfort Ð job-security, income, home-ownership Ð that my parents had / that I envision for myself.	40.6	12	item1
219	Question5	FRA	Securing / maintaining adequate housing	38.1	13	item4
220	Question5	FRA	None of these risks	4.6	14	item8
221	Question5	GRC	Being financially secure in old-age	77.7	9	item3
222	Question5	GRC	That my children will not achieve the level of status and comfort Ð job-security, income, home-ownership Ð that I have.	62.1	10	item2
223	Question5	GRC	That I will not attain the level of status and comfort Ð job-security, income, home-ownership Ð that my parents had / that I envision for myself.	50.9	11	item1
224	Question5	GRC	Securing / maintaining adequate housing	32.6	12	item4
225	Question5	GRC	Ensuring long-term care of elderly or disabled family members	30.1	13	item5
226	Question5	GRC	None of these risks	1.6	14	item8
227	Question5	IRL	Being financially secure in old-age	69.8	9	item3
228	Question5	IRL	That I will not attain the level of status and comfort Ð job-security, income, home-ownership Ð that my parents had / that I envision for myself.	48.9	10	item1
229	Question5	IRL	That my children will not achieve the level of status and comfort Ð job-security, income, home-ownership Ð that I have.	48.1	11	item2
230	Question5	IRL	Ensuring long-term care of elderly or disabled family members	38.7	12	item5
231	Question5	IRL	Securing / maintaining adequate housing	34.6	13	item4
232	Question5	IRL	None of these risks	5.1	14	item8
233	Question5	ITA	Being financially secure in old-age	71.3	9	item3
234	Question5	ITA	That my children will not achieve the level of status and comfort Ð job-security, income, home-ownership Ð that I have.	49.7	10	item2
235	Question5	ITA	That I will not attain the level of status and comfort Ð job-security, income, home-ownership Ð that my parents had / that I envision for myself.	48.8	11	item1
236	Question5	ITA	Ensuring long-term care of elderly or disabled family members	39.1	12	item5
237	Question5	ITA	Securing / maintaining adequate housing	25.1	13	item4
238	Question5	ITA	None of these risks	5.7	14	item8
239	Question5	LTU	Being financially secure in old-age	81.2	9	item3
240	Question5	LTU	Securing / maintaining adequate housing	56.2	10	item4
241	Question5	LTU	That I will not attain the level of status and comfort Ð job-security, income, home-ownership Ð that my parents had / that I envision for myself.	44	11	item1
242	Question5	LTU	Ensuring long-term care of elderly or disabled family members	41.8	12	item5
243	Question5	LTU	That my children will not achieve the level of status and comfort Ð job-security, income, home-ownership Ð that I have.	24.4	13	item2
244	Question5	LTU	None of these risks	3.3	14	item8
245	Question5	MEX	Being financially secure in old-age	70.8	9	item3
246	Question5	MEX	That my children will not achieve the level of status and comfort Ð job-security, income, home-ownership Ð that I have.	54.8	10	item2
247	Question5	MEX	Securing / maintaining adequate housing	53.6	11	item4
248	Question5	MEX	That I will not attain the level of status and comfort Ð job-security, income, home-ownership Ð that my parents had / that I envision for myself.	41.5	12	item1
249	Question5	MEX	Ensuring long-term care of elderly or disabled family members	32.8	13	item5
250	Question5	MEX	None of these risks	2.7	14	item8
251	Question5	NLD	Being financially secure in old-age	60.2	9	item3
252	Question5	NLD	Ensuring long-term care of elderly or disabled family members	39.6	10	item5
253	Question5	NLD	That I will not attain the level of status and comfort Ð job-security, income, home-ownership Ð that my parents had / that I envision for myself.	34.1	11	item1
254	Question5	NLD	Securing / maintaining adequate housing	33.3	12	item4
255	Question5	NLD	That my children will not achieve the level of status and comfort Ð job-security, income, home-ownership Ð that I have.	30.9	13	item2
256	Question5	NLD	None of these risks	15.9	14	item8
257	Question5	NOR	Being financially secure in old-age	64.2	9	item3
258	Question5	NOR	That my children will not achieve the level of status and comfort Ð job-security, income, home-ownership Ð that I have.	37.8	10	item2
259	Question5	NOR	Securing / maintaining adequate housing	34.8	11	item4
260	Question5	NOR	That I will not attain the level of status and comfort Ð job-security, income, home-ownership Ð that my parents had / that I envision for myself.	34.7	12	item1
261	Question5	NOR	Ensuring long-term care of elderly or disabled family members	29.4	13	item5
262	Question5	NOR	None of these risks	14	14	item8
263	Question5	PRT	Being financially secure in old-age	75.2	9	item3
264	Question5	PRT	That I will not attain the level of status and comfort Ð job-security, income, home-ownership Ð that my parents had / that I envision for myself.	45.9	10	item1
265	Question5	PRT	That my children will not achieve the level of status and comfort Ð job-security, income, home-ownership Ð that I have.	44.9	11	item2
266	Question5	PRT	Ensuring long-term care of elderly or disabled family members	43.4	12	item5
267	Question5	PRT	Securing / maintaining adequate housing	42.9	13	item4
268	Question5	PRT	None of these risks	3.2	14	item8
269	Question5	SVN	Being financially secure in old-age	80.3	9	item3
270	Question5	SVN	That my children will not achieve the level of status and comfort Ð job-security, income, home-ownership Ð that I have.	50.2	10	item2
271	Question5	SVN	Ensuring long-term care of elderly or disabled family members	43.6	11	item5
272	Question5	SVN	That I will not attain the level of status and comfort Ð job-security, income, home-ownership Ð that my parents had / that I envision for myself.	39.7	12	item1
273	Question5	SVN	Securing / maintaining adequate housing	27	13	item4
274	Question5	SVN	None of these risks	4.1	14	item8
275	Question5	USA	Being financially secure in old-age	70.5	9	item3
276	Question5	USA	That I will not attain the level of status and comfort Ð job-security, income, home-ownership Ð that my parents had / that I envision for myself.	45.9	10	item1
277	Question5	USA	Ensuring long-term care of elderly or disabled family members	37.4	11	item5
278	Question5	USA	Securing / maintaining adequate housing	36.3	12	item4
279	Question5	USA	That my children will not achieve the level of status and comfort Ð job-security, income, home-ownership Ð that I have.	33.1	13	item2
280	Question5	USA	None of these risks	9.5	14	item8
281	Question6	AUT	Yes	40.4	15	item1
282	Question6	AUT	No, because I have savings/ own property / have other assets.	36.1	16	item3
283	Question6	AUT	No, because we have two incomes.	25.6	17	item2
284	Question6	AUT	No, because close family or friends would help me/us financially	14.8	18	item4
285	Question6	AVG	Yes	56.3	15	item1
286	Question6	AVG	No, because I have savings/ own property / have other assets.	24	16	item3
287	Question6	AVG	No, because we have two incomes.	16.4	17	item2
288	Question6	AVG	No, because close family or friends would help me/us financially	10.9	18	item4
289	Question6	BEL	Yes	53.9	15	item1
290	Question6	BEL	No, because I have savings/ own property / have other assets.	25.4	16	item3
291	Question6	BEL	No, because we have two incomes.	22	17	item2
292	Question6	BEL	No, because close family or friends would help me/us financially	7.6	18	item4
293	Question6	CAN	Yes	55.5	15	item1
294	Question6	CAN	No, because I have savings/ own property / have other assets.	27.7	16	item3
295	Question6	CAN	No, because we have two incomes.	15.4	17	item2
296	Question6	CAN	No, because close family or friends would help me/us financially	8.7	18	item4
297	Question6	CHL	Yes	62.7	15	item1
298	Question6	CHL	No, because I have savings/ own property / have other assets.	17.2	16	item3
299	Question6	CHL	No, because we have two incomes.	13.4	17	item2
300	Question6	CHL	No, because close family or friends would help me/us financially	12	18	item4
301	Question6	DEU	Yes	49.8	15	item1
302	Question6	DEU	No, because I have savings/ own property / have other assets.	28.4	16	item3
303	Question6	DEU	No, because we have two incomes.	20	17	item2
304	Question6	DEU	No, because close family or friends would help me/us financially	13.5	18	item4
305	Question6	DNK	Yes	48.9	15	item1
306	Question6	DNK	No, because I have savings/ own property / have other assets.	30.5	16	item3
307	Question6	DNK	No, because we have two incomes.	20	17	item2
308	Question6	DNK	No, because close family or friends would help me/us financially	9.2	18	item4
309	Question6	EST	Yes	54.9	15	item1
310	Question6	EST	No, because I have savings/ own property / have other assets.	27.1	16	item3
311	Question6	EST	No, because we have two incomes.	16.8	17	item2
312	Question6	EST	No, because close family or friends would help me/us financially	11.7	18	item4
313	Question6	FIN	Yes	54.8	15	item1
314	Question6	FIN	No, because I have savings/ own property / have other assets.	32.3	16	item3
315	Question6	FIN	No, because we have two incomes.	13.1	17	item2
316	Question6	FIN	No, because close family or friends would help me/us financially	7.8	18	item4
317	Question6	FRA	Yes	67.8	15	item1
318	Question6	FRA	No, because I have savings/ own property / have other assets.	18.2	16	item3
319	Question6	FRA	No, because close family or friends would help me/us financially	9.4	17	item4
320	Question6	FRA	No, because we have two incomes.	8.4	18	item2
321	Question6	GRC	Yes	71.9	15	item1
322	Question6	GRC	No, because I have savings/ own property / have other assets.	11.9	16	item3
323	Question6	GRC	No, because we have two incomes.	10	17	item2
324	Question6	GRC	No, because close family or friends would help me/us financially	9.3	18	item4
325	Question6	IRL	Yes	61.3	15	item1
326	Question6	IRL	No, because I have savings/ own property / have other assets.	20.6	16	item3
327	Question6	IRL	No, because we have two incomes.	14.7	17	item2
328	Question6	IRL	No, because close family or friends would help me/us financially	9	18	item4
329	Question6	ITA	Yes	59	15	item1
330	Question6	ITA	No, because I have savings/ own property / have other assets.	21	16	item3
331	Question6	ITA	No, because we have two incomes.	14.7	17	item2
332	Question6	ITA	No, because close family or friends would help me/us financially	10.8	18	item4
333	Question6	LTU	Yes	59.1	15	item1
334	Question6	LTU	No, because close family or friends would help me/us financially	18.3	16	item4
335	Question6	LTU	No, because we have two incomes.	15.8	17	item2
336	Question6	LTU	No, because I have savings/ own property / have other assets.	11	18	item3
337	Question6	MEX	Yes	65.6	15	item1
338	Question6	MEX	No, because I have savings/ own property / have other assets.	16.1	16	item3
339	Question6	MEX	No, because we have two incomes.	14.6	17	item2
340	Question6	MEX	No, because close family or friends would help me/us financially	8.4	18	item4
341	Question6	NLD	No, because I have savings/ own property / have other assets.	40.7	15	item3
342	Question6	NLD	Yes	39	16	item1
343	Question6	NLD	No, because we have two incomes.	22.9	17	item2
344	Question6	NLD	No, because close family or friends would help me/us financially	11.4	18	item4
345	Question6	NOR	Yes	45.8	15	item1
346	Question6	NOR	No, because I have savings/ own property / have other assets.	28.3	16	item3
347	Question6	NOR	No, because we have two incomes.	24.2	17	item2
348	Question6	NOR	No, because close family or friends would help me/us financially	10	18	item4
349	Question6	PRT	Yes	60.7	15	item1
350	Question6	PRT	No, because I have savings/ own property / have other assets.	19.7	16	item3
351	Question6	PRT	No, because close family or friends would help me/us financially	14.6	17	item4
352	Question6	PRT	No, because we have two incomes.	10.2	18	item2
353	Question6	SVN	Yes	63.1	15	item1
354	Question6	SVN	No, because I have savings/ own property / have other assets.	18.1	16	item3
355	Question6	SVN	No, because we have two incomes.	14.7	17	item2
356	Question6	SVN	No, because close family or friends would help me/us financially	10.1	18	item4
357	Question6	USA	Yes	56.3	15	item1
358	Question6	USA	No, because I have savings/ own property / have other assets.	26.4	16	item3
359	Question6	USA	No, because we have two incomes.	15.3	17	item2
360	Question6	USA	No, because close family or friends would help me/us financially	10.7	18	item4
